Running preemptive_example with Pi approximator...
starting timer with. 0 s and 10000 us
starting timer with. 0 s and 10000 us
Initiating pi_task (ID: 2, Terms: 100000000)
Task 2 - Pi Val: 3.1405926538397929
Task 2 - Pi Val: 3.1410926536210432
Task 2 - Pi Val: 3.1412593202657192
Task 2 - Pi Val: 3.1413426535936995
Task 2 - Pi Val: 3.1413926535917932
Task 2 - Pi Val: 3.1414259869242840
Task 2 - Pi Val: 3.1414497964476650
Task 2 - Pi Val: 3.1414676535902815
Task 2 - Pi Val: 3.1414815424790251
Task 2 - Pi Val: 3.1414926535900432
Task 2 - Pi Val: 3.1415017444990720
Task 2 - Pi Val: 3.1415093202566046
Task 2 - Pi Val: 3.1415157305129840
Task 2 - Pi Val: 3.1415212250184558
Task 2 - Pi Val: 3.1415259869232007
Task 2 - Pi Val: 3.1415301535898543
Task 2 - Pi Val: 3.1415338300604324
Task 2 - Pi Val: 3.1415370980342806
Task 2 - Pi Val: 3.1415400220108823
Task 2 - Pi Val: 3.1415426535898245
Task 2 - Pi Val: 3.1415450345422012
Task 2 - Pi Val: 3.1415471990443622
Task 2 - Pi Val: 3.1415491753289442
Task 2 - Pi Val: 3.1415509869231447
Task 2 - Pi Val: 3.1415526535898093
Task 2 - Pi Val: 3.1415541920513459
Task 2 - Pi Val: 3.1415556165527689
Task 2 - Pi Val: 3.1415569393040904
Task 2 - Pi Val: 3.1415581708311828
Task 2 - Pi Val: 3.1415593202564692
Task 2 - Pi Val: 3.1415603955252855
Task 2 - Pi Val: 3.1415614035898009
Task 2 - Pi Val: 3.1415623505594972
Task 2 - Pi Val: 3.1415632418250937
Task 2 - Pi Val: 3.1415640821612277
Task 2 - Pi Val: 3.1415648758120208
Task 2 - Pi Val: 3.1415656265627712
Task 2 - Pi Val: 3.1415663378003241
Task 2 - Pi Val: 3.1415670125641564
Task 2 - Pi Val: 3.1415676535897972
Task 2 - Pi Val: 3.1415682633458944
Task 2 - Pi Val: 3.1415688440659871
Task 2 - Pi Val: 3.1415693977758429
Task 2 - Pi Val: 3.1415699263170689
Task 2 - Pi Val: 3.1415704313675738
Task 2 - Pi Val: 3.1415709144593610
Task 2 - Pi Val: 3.1415713769940510
Task 2 - Pi Val: 3.1415718202564622
Task 2 - Pi Val: 3.1415722454265301
Task 2 - Pi Val: 3.1415726535897952
Task 2 - Pi Val: 3.1415730457466579
Task 2 - Pi Val: 3.1415734228205643
Task 2 - Pi Val: 3.1415737856652666
Task 2 - Pi Val: 3.1415741350712763
Task 2 - Pi Val: 3.1415744717716129
Task 2 - Pi Val: 3.1415747964469375
Task 2 - Pi Val: 3.1415751097301455
Task 2 - Pi Val: 3.1415754122104842
Task 2 - Pi Val: 3.1415757044372521
Task 2 - Pi Val: 3.1415759869231277
Task 2 - Pi Val: 3.1415762601471714
Task 2 - Pi Val: 3.1415765245575362
Task 2 - Pi Val: 3.1415767805739212
Task 2 - Pi Val: 3.1415770285897942
Task 2 - Pi Val: 3.1415772689744095
Task 2 - Pi Val: 3.1415775020746426
Task 2 - Pi Val: 3.1415777282166597
Task 2 - Pi Val: 3.1415779477074411
Task 2 - Pi Val: 3.1415781608361708
Task 2 - Pi Val: 3.1415783678755083
Task 2 - Pi Val: 3.1415785690827517
Task 2 - Pi Val: 3.1415787647009050
Task 2 - Pi Val: 3.1415789549596569
Task 2 - Pi Val: 3.1415791400762803
Task 2 - Pi Val: 3.1415793202564605
Task 2 - Pi Val: 3.1415794956950570
Task 2 - Pi Val: 3.1415796665768068
Task 2 - Pi Val: 3.1415798330769732
Task 2 - Pi Val: 3.1415799953619456
Task 2 - Pi Val: 3.1415801535897937
Task 2 - Pi Val: 3.1415803079107814
Task 2 - Pi Val: 3.1415804584678425
Task 2 - Pi Val: 3.1415806053970226
Task 2 - Pi Val: 3.1415807488278889
Task 2 - Pi Val: 3.1415808888839113
Task 2 - Pi Val: 3.1415810256828169
Task 2 - Pi Val: 3.1415811593369201
Task 2 - Pi Val: 3.1415812899534300
Task 2 - Pi Val: 3.1415814176347374
Task 2 - Pi Val: 3.1415815424786825
Task 2 - Pi Val: 3.1415816645788046
Task 2 - Pi Val: 3.1415817840245762
Task 2 - Pi Val: 3.1415819009016215
Task 2 - Pi Val: 3.1415820152919212
Task 2 - Pi Val: 3.1415821272740041
Task 2 - Pi Val: 3.1415822369231269
Task 2 - Pi Val: 3.1415823443114430
Task 2 - Pi Val: 3.1415824495081609
Task 2 - Pi Val: 3.1415825525796925
Task 2 - Pi Val: 3.1415826535897935
Task 2 - Pi Val: 3.1415827525996945
Task 2 - Pi Val: 3.1415828496682248
Task 2 - Pi Val: 3.1415829448519294
Task 2 - Pi Val: 3.1415830382051781
Task 2 - Pi Val: 3.1415831297802696
Task 2 - Pi Val: 3.1415832196275293
Task 2 - Pi Val: 3.1415833077954009
Task 2 - Pi Val: 3.1415833943305342
Task 2 - Pi Val: 3.1415834792778668
Task 2 - Pi Val: 3.1415835626807025
Task 2 - Pi Val: 3.1415836445807844
Task 2 - Pi Val: 3.1415837250183648
Task 2 - Pi Val: 3.1415838040322713
Task 2 - Pi Val: 3.1415838816599688
Task 2 - Pi Val: 3.1415839579376195
Task 2 - Pi Val: 3.1415840329001382
Task 2 - Pi Val: 3.1415841065812464
Task 2 - Pi Val: 3.1415841790135222
Task 2 - Pi Val: 3.1415842502284489
Task 2 - Pi Val: 3.1415843202564601
Task 2 - Pi Val: 3.1415843891269835
Task 2 - Pi Val: 3.1415844568684819
Task 2 - Pi Val: 3.1415845235084926
Task 2 - Pi Val: 3.1415845890736643
Task 2 - Pi Val: 3.1415846535897934
Task 2 - Pi Val: 3.1415847170818569
Task 2 - Pi Val: 3.1415847795740453
